Size,Algorithm,Best,Mean,Median,Worst
100,Insertion,4658,5290,5226,6040
100,Bubble,10749,12175,12307,13085
100,Merge,1206,1213,1213,1225
300,Insertion,41418,45663,45584,51907
300,Bubble,107073,112505,112966,116595
300,Merge,4564,4585,4585,4603
600,Insertion,169401,180560,181532,188879
600,Bubble,435468,448506,449005,463422
600,Merge,10339,10363,10366,10386
900,Insertion,379312,406700,408104,434909
900,Bubble,989492,1010584,1009195,1039733
900,Merge,16537,16579,16580,16609
1200,Insertion,693245,723212,722482,745803
1200,Bubble,1735758,1797665,1797135,1848356
1200,Merge,23068,23133,23135,23173
1697,Insertion,1400543,1439978,1440864,1483914
1697,Bubble,3528570,3606885,3607280,3667324
1697,Merge,34383,34424,34424,34477
