Size,Structure,Insertion,Bubble,Merge,BuiltIn
100,ArrayList,764510,718910,234780,141210
100,LinkedList,242780,308020,51610,50870
300,ArrayList,1205190,1337060,310330,163420
300,LinkedList,319160,1054920,123090,120480
600,ArrayList,2040550,3703320,340860,187020
600,LinkedList,808690,3189930,182790,167250
900,ArrayList,1867380,6623800,479070,257510
900,LinkedList,1773270,6087190,217970,233700
1200,ArrayList,3026220,11626880,326440,448510
1200,LinkedList,3191950,10734990,314500,233440
1697,ArrayList,5617150,20552490,507500,424080
1697,LinkedList,5746030,19371700,372770,305370
