Size,Algorithm,Best,Mean,Median,Worst
100,Insertion,50400,402133,276950,2220700
100,Bubble,112600,379916,177400,1218400
100,Merge,45300,161250,61500,1446400
100,BuiltIn,50600,99333,55800,1276300
300,Insertion,319500,624050,429750,4145400
300,Bubble,687100,1020486,973900,1613700
300,Merge,93100,146180,95100,1332600
300,BuiltIn,64500,124390,128600,171100
600,Insertion,713800,1106576,899000,4478400
600,Bubble,2726400,3259186,2981500,6468300
600,Merge,209500,280243,226500,1378200
600,BuiltIn,123200,159293,149700,265600
900,Insertion,1417200,1646453,1572100,2721700
900,Bubble,6234500,6751273,6806700,7376200
900,Merge,418100,487026,470700,825200
900,BuiltIn,211000,318470,262350,757200
1200,Insertion,2552900,3338250,3269900,5365900
1200,Bubble,10380500,11376273,10827300,16590700
1200,Merge,409600,505213,448600,1286400
1200,BuiltIn,245200,306150,279950,459500
1697,Insertion,4328400,4898446,4819900,5887900
1697,Bubble,21360400,21948010,21884750,23077500
1697,Merge,394300,406070,401100,463700
1697,BuiltIn,327400,389583,362550,629700
